player_id_sr,name,position,until
MixoJo00,Joe Mixon,RB,6
AiyuBr00,Brandon Aiyuk,WR,5
AddiJo00,Jordan Addison,WR,3
RiceRa01,Rashee Rice,WR,6
GodwCh00,Chris Godwin,WR,2
KittGe00,George Kittle,TE,5
EkelAu00,Austin Ekeler,RB,17
GoedDa00,Dallas Goedert,TE,2
WatsCh00,Christian Watson,WR,5
LikeIs00,Isaiah Likely,TE,2
ReedJa03,Jayden Reed,WR,9
RodrCh00,Chris Rodriguez,RB,2
WortXa00,Xavier Worthy,WR,2
EvanMi00,Mike Evans,WR,5
HillTy00,Tyreek Hill,WR,17
JoneAa00,Aaron Jones,RB,6
JackLa00,Lamar Jackson,QB,5
McLaTe00,Terry McLaurin,WR,5
LambCe00,CeeDee Lamb,WR,5
HubbCh01,Chuba Hubbard,RB,5
PurdBr00,Brock Purdy,QB,5
PearRi00,Ricky Pearsall,WR,5
BensTr01,Trey Benson,RB,8
AlleBr05,Braelon Allen,RB,15
IrviBu00,Bucky Irving,RB,5
CokeJa01,Jalen Coker,WR,5
